canonical_smiles,molecule_chembl_id,pIC50,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CCC1Oc2c(C)c(C)c(O)c(C)c2S1,CHEMBL285731,5.346787486224656,=,=,IC50,nM,4500.0,IC50,uM,4.5
COC(=O)N[C@@H]1C(O)C(OC2C(O)[C@H](O[C@@H]3C(CO)O[C@@H](OCCCO[C@H]4CCC[C@H](OCCCO[C@@H]5OC(CO)[C@@H](O[C@@H]6OC(CO)[C@H](O)C(OC7C(O)[C@@H](NC(=O)OC)C([C@H](O)[C@H](O)CO)O[C@H]7C(=O)O)C6O)C(O[C@@H]6OC(C)[C@H](O)C(O)C6O)C5Nc5ccc6ccccc6c5)C4)C(Nc4ccc5ccccc5c4)C3O[C@@H]3OC(C)[C@H](O)C(O)C3O)OC(CO)[C@@H]2O)[C@H](C(=O)[O-])OC1[C@H](O)[C@H](O)CO.[Na+],CHEMBL2021326,4.309803919971486,=,=,IC50,nM,49000.0,IC50,mM,0.049
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,CHEMBL225071,8.045757490560675,=,=,IC50,nM,9.0,IC50,uM,0.009
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,CHEMBL813,8.698970004336019,=,=,IC50,nM,2.0,IC50,nM,2.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc([N+](=O)[O-])c3)CC1)C2.Cl,CHEMBL557839,8.397940008672037,=,=,IC50,nM,4.0,IC50,nM,4.0
CC(C)[C@@H](NC(=O)[C@@H]1NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC1(C)C)C(=O)NCC(N)=O,CHEMBL288317,8.431798275933005,=,=,IC50,nM,3.7,IC50,nM,3.7
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCO[C@@H]12)OCc1ccccc1,CHEMBL115734,8.301029995663981,=,=,IC50,nM,5.0,IC50,uM,0.005
COc1c(N2C[C@@H]3[C@@H](N)[C@@H]3C2)c(F)cc2c1N(c1ccc(F)cc1F)CC(C(=O)O)C2=O,CHEMBL96896,4.494850021680094,=,=,IC50,nM,32000.0,IC50,uM,32.0
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CHEMBL376897,8.366531544420413,=,=,IC50,nM,4.3,IC50,nM,4.3
O=C(CCN1CCC(CCO)CC1)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CCN3CCC(CCO)CC3)cc1C2=O,CHEMBL263805,5.403402904373539,=,=,IC50,nM,3950.0,IC50,uM,3.95
O=c1cc(-c2ccccc2)oc2c([N+](=O)[O-])c(O)cc(O)c12,CHEMBL353368,5.638272163982407,=,=,IC50,nM,2300.0,IC50,uM,2.3
CSc1cc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)ccc1O,CHEMBL142891,5.42021640338319,=,=,IC50,nM,3800.0,IC50,uM,3.8
COc1cc(Nc2ncc(-c3ccccc3OC)o2)ccc1-c1cnco1,CHEMBL302748,7.638272163982407,=,=,IC50,nM,23.0,IC50,nM,23.0
CCC(=O)N(c1ccccc1)[C@H]1CCN(CCc2ccccc2)C[C@H]1C,CHEMBL12391,8.886056647693163,=,=,IC50,nM,1.3,IC50,nM,1.3
CC1=C(Nc2ccc(O)cc2)C(=O)c2c(COC(N)=O)c3n(c2C1=O)CC(N)C3OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,CHEMBL2368670,4.473660722610156,=,=,IC50,nM,33600.0,IC50,uM,33.6
CNC(=O)c1cc2c(Oc3ccc(-c4nn[nH]n4)cc3)cncc2s1,CHEMBL325618,6.0,>,>,IC50,nM,1000.0,IC50,nM,1000.0
CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccc(F)cc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,CHEMBL70240,4.6020599913279625,>,>,IC50,nM,25000.0,IC50,uM,25.0
Nc1nc(-c2ccc(CCN3CCN(c4cccc5ccccc45)CC3)cc2)cs1,CHEMBL300849,7.142667503568732,=,=,IC50,nM,72.0,IC50,nM,72.0
Nc1nc(I)nc2c1ncn2OCCO,CHEMBL154441,3.3010299956639813,>,>,IC50,nM,500000.0,IC50,uM,500.0
