canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CC1(C)N=C(N)N=C(N)N1c1cccc(C[Se]c2ccccc2)c1,CHEMBL20224,=,=,Ki,nM,3.802,Log 1/Ki,,8.42
COCc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31462,=,=,Log 1/Ki app,,6.59,Log 1/Ki app,,6.59
COc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19023,=,=,Log 1/Ki app,,6.82,Log 1/Ki app,,6.82
CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31235,=,=,Log 1/Ki app,,6.25,Log 1/Ki app,,6.25
Nc1ncc(Cc2cccc(O)c2)c(N)n1,CHEMBL30734,=,=,Log 1/Ki app,,6.47,Log 1/Ki app,,6.47
COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL32039,=,=,Log 1/Ki app,,8.35,Log 1/Ki app,,8.35
CCCCOCc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL281760,=,=,Log 1/Ki app,,6.55,Log 1/Ki app,,6.55
CCc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,CHEMBL20874,=,=,Ki,nM,60.26,Log 1/Ki,,7.22
CC1(C)N=C(N)N=C(N)N1c1ccc(C(N)=O)cc1,CHEMBL284553,=,=,Ki,nM,19952.62,Log 1/Ki,,4.7
Nc1ncc(Cc2cc(CO)cc(CO)c2)c(N)n1,CHEMBL31619,=,=,Log 1/Ki app,,5.31,Log 1/Ki app,,5.31
CCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31946,=,=,Log 1/Ki app,,6.82,Log 1/Ki app,,6.82
CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,CHEMBL7130,=,=,Ki,nM,22.39,Log 1/Ki,,7.65
Nc1ncc(Cc2ccc(F)cc2)c(N)n1,CHEMBL19780,=,=,Log 1/Ki app,,6.35,Log 1/Ki app,,6.35
CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(S(=O)(=O)F)cc2Cl)c(Cl)c1,CHEMBL33697,=,=,Ki,nM,1.023,Log 1/Ki,,8.99
Nc1ncc(Cc2cccc(I)c2)c(N)n1,CHEMBL29712,=,=,Log 1/Ki app,,7.23,Log 1/Ki app,,7.23
Nc1ncc(Cc2cccc(F)c2)c(N)n1,CHEMBL19772,=,=,Log 1/Ki app,,6.23,Log 1/Ki app,,6.23
COc1ccc(Cc2cnc(N)nc2N)cc1OC,CHEMBL19633,=,=,Log 1/Ki app,,7.72,Log 1/Ki app,,7.72
COc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,CHEMBL266319,=,=,Ki,nM,346.74,Log 1/Ki,,6.46
CN(C)c1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19383,=,=,Log 1/Ki app,,6.78,Log 1/Ki app,,6.78
Nc1ncc(Cc2ccc(Br)cc2)c(N)n1,CHEMBL19293,=,=,Log 1/Ki app,,6.82,Log 1/Ki app,,6.82
Cc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL19406,=,=,Log 1/Ki app,,6.7,Log 1/Ki app,,6.7
CC1(C)N=C(N)N=C(N)N1c1cccc(CNc2ccc(Cl)cc2)c1,CHEMBL20393,=,=,Ki,nM,44.67,Log 1/Ki,,7.35
CS(=O)(=O)Oc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL434787,=,=,Log 1/Ki app,,6.92,Log 1/Ki app,,6.92
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Log 1/Ki app,,8.87,Log 1/Ki app,,8.87
Nc1ncc(Cc2ccc(O)c(O)c2)c(N)n1,CHEMBL279273,=,=,Log 1/Ki app,,6.46,Log 1/Ki app,,6.46
Nc1ncc(Cc2cccc(Br)c2)c(N)n1,CHEMBL18898,=,=,Log 1/Ki app,,6.96,Log 1/Ki app,,6.96
CC1(C)N=C(N)N=C(N)N1c1cccc(S(N)(=O)=O)c1,CHEMBL266734,=,=,Ki,nM,70794.58,Log 1/Ki,,4.15
CC1(C)N=C(N)N=C(N)N1c1cccc(C(F)(F)F)c1,CHEMBL6948,=,=,Ki,nM,77.62,Log 1/Ki,,7.11
CCCCCCCCCc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,CHEMBL20587,=,=,Ki,nM,2.399,Log 1/Ki,,8.62
CC1(C)N=C(N)N=C(N)N1c1ccccc1,CHEMBL6742,=,=,Ki,nM,309.03,Log 1/Ki,,6.51
Nc1ncc(Cc2ccc(OC(F)(F)F)cc2)c(N)n1,CHEMBL19771,=,=,Log 1/Ki app,,6.57,Log 1/Ki app,,6.57
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1,CHEMBL287241,=,=,Log 1/Ki app,,8.38,Log 1/Ki app,,8.38
Nc1ncc(Cc2ccc(Cl)cc2)c(N)n1,CHEMBL280884,=,=,Log 1/Ki app,,6.45,Log 1/Ki app,,6.45
CC1(C)N=C(N)N=C(N)N1c1cccc(C#N)c1,CHEMBL268914,=,=,Ki,nM,117.49,Log 1/Ki,,6.93
Nc1ncc(Cc2cccc(CO)c2)c(N)n1,CHEMBL32067,=,=,Log 1/Ki app,,6.28,Log 1/Ki app,,6.28
CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31547,=,=,Log 1/Ki app,,6.86,Log 1/Ki app,,6.86
Nc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19672,=,=,Log 1/Ki app,,6.3,Log 1/Ki app,,6.3
Nc1ncc(Cc2ccccc2)c(N)n1,CHEMBL265493,=,=,Log 1/Ki app,,6.18,Log 1/Ki app,,6.18
CC1(C)N=C(N)N=C(N)N1c1cccc(O)c1,CHEMBL278587,=,=,Ki,nM,1479.11,Log 1/Ki,,5.83
Cc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL416177,=,=,Log 1/Ki app,,6.48,Log 1/Ki app,,6.48
CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cc(Cl)c(Cl)cc2Cl)c1,CHEMBL282044,=,=,Ki,nM,7.762,Log 1/Ki,,8.11
CCCCCCCCCCCCc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,CHEMBL21254,=,=,Ki,nM,12.59,Log 1/Ki,,7.9
