generated_smiles,mol,canonical_smiles,passes_lipinski,max_tanimoto,predicted_active,prob_active,activity_level,rdkit_indicators,predicted_active_2,prob_active_2,activity_level_2
CCO,<rdkit.Chem.rdchem.Mol object at 0x7fa7c384d2a0>,CCO,True,0.13333333333333333,0,0.0,Low,"[7.569444444444445, 7.569444444444445, 0.25, 0.25, 0.40680796565539457, 6.0, 46.069, 40.021, 46.041864812, 20, 0, 0.04022058174908642, -0.3966637147812598, 0.3966637147812598, 0.04022058174908642, 2.0, 2.0, 2.0, 16.248991329327914, 10.908168035086371, 1.3402935186707783, -1.52235869276019, 1.2962426382141046, -1.5683635470355741, 3.835802335589486, 0.3184056131739115, 0.9182958340544894, 1.6329931618554523, 2.7548875021634682, 2.7071067811865475, 2.1543203766865053, 2.1543203766865053, 1.4142135623730951, 1.0233345472033855, 1.0233345472033855, 0.3162277660168379, 0.3162277660168379, 0.0, 0.0, 0.0, 0.0, -0.04, 2.7548875021634682, 2.9600000000000004, 1.96, 1.9600000000000033, 19.89842689442217, 5.106527394840706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.923737199690624, 6.606881964512918, 0.0, 5.106527394840706, 0.0, 0.0, 0.0, 0.0, 6.923737199690624, 6.606881964512918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.713409359353623, 0.0, 0.0, 6.923737199690624, 0.0, 0.0, 0.0, 0.0, 20.23, 0.0, 0.0, 0.0, 6.606881964512918, 0.0, 0.0, 0.0, 6.923737199690624, 0.0, 0.0, 5.106527394840706, 0.0, 0.0, 0.0, 7.569444444444445, 0.0, 0.0, 0.0, 0.0, 1.9305555555555556, 0.0, 1.0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1.9338666666666668, 0, -0.0014000000000000123, 12.759800000000002, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.29542186915930063,Low
COC1=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed770>,COC1=CC=C1,True,0.1702127659574468,0,0.01,Low,"[4.760416666666667, 4.760416666666667, 0.9675925925925928, 0.9675925925925928, 0.45971147510574006, 15.833333333333334, 82.10199999999999, 76.05399999999999, 82.041864812, 32, 0, 0.11836221066817675, -0.4967685315297231, 0.4967685315297231, 0.11836221066817675, 1.6666666666666667, 2.3333333333333335, 2.3333333333333335, 16.467931913724378, 10.253051561227814, 1.903368186445792, -2.012572237991172, 2.051814346875873, -1.8458729421825113, 5.29410436468514, 0.3031163326386346, 1.3143204867061786, 2.366639535121113, 100.50607234750304, 4.405777393935816, 3.6402990980327403, 3.6402990980327403, 2.931851652578137, 1.8563893715520874, 1.8563893715520874, 1.132276495357323, 1.132276495357323, 0.756685203343221, 0.756685203343221, 0.3108752284847307, 0.3108752284847307, -0.7200000000000001, 17.086166327180322, 3.4693939393939397, 1.1675410767171084, 0.3217220142494869, 36.92752749702512, 4.736862953800049, 5.759164871656176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.076020106833881, 12.152040213667762, 0.0, 7.109797541277533, 4.736862953800049, 0.0, 0.0, 0.0, 0.0, 0.0, 7.109797541277533, 23.98722519215782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.109797541277533, 4.736862953800049, 0.0, 0.0, 23.98722519215782, 0.0, 0.0, 0.0, 9.23, 0.0, 0.0, 0.0, 0.0, 0.0, 5.759164871656176, 0.0, 7.109797541277533, 18.228060320501644, 0.0, 4.736862953800049, 4.760416666666667, 0.0, 0.0, 0.0, 0.0, 0.9675925925925928, 0.0, 5.77662037037037, 0.0, 1.662037037037037, 0.2, 6, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0.6751099892593019, 1, 1.0865, 24.231999999999992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.3920161944023488,Medium
CC1C=N1,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed700>,CC1C=N1,True,0.13333333333333333,0,0.01,Low,"[3.7777777777777777, 3.7777777777777777, 0.5833333333333333, 0.5833333333333333, 0.38136219896961865, 35.75, 55.08, 50.04, 55.042199159999996, 22, 0, 0.08147964262907412, -0.2865374537774508, 0.2865374537774508, 0.08147964262907412, 2.0, 2.25, 2.25, 14.890995319571463, 10.554103830237855, 1.9939109203094898, -1.5419127238734378, 1.9400893272327235, -1.6501752321414342, 5.763013573437079, 1.1514954608795092, 1.75, 2.3222531506196287, 41.24511249783653, 2.9915638315627207, 2.6019141338792093, 2.6019141338792093, 1.893846850117352, 1.4270813820172816, 1.4270813820172816, 1.0387458185804526, 1.0387458185804526, 0.44721359549995804, 0.44721359549995804, 0.08606629658238707, 0.08606629658238707, -0.33, 14.0, 1.9424795640326975, 0.34143689044380965, 0.10515829931686513, 25.35862658895366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.992404732635669, 0.0, 0.0, 0.0, 0.0, 6.923737199690624, 6.2146005795353165, 6.041840829147961, 0.0, 6.2146005795353165, 0.0, 0.0, 4.992404732635669, 12.965578028838586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.256441408683276, 0.0, 0.0, 6.923737199690624, 4.992404732635669, 0.0, 0.0, 0.0, 12.36, 0.0, 0.0, 0.0, 0.0, 6.041840829147961, 0.0, 0.0, 0.0, 6.2146005795353165, 11.916141932326294, 0.0, 0.0, 0.0, 3.7777777777777777, 0.0, 0.0, 0.0, 0.5833333333333333, 1.9166666666666667, 2.0555555555555554, 0.0, 0.6666666666666666, 4, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0.1658085455234928, 1, 0.45930000000000004, 17.954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.39672771132887613,Medium
CCCC,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed7e0>,CCCC,True,0.11764705882352941,0,0.0,Low,"[2.1805555555555554, 2.1805555555555554, 1.3194444444444444, 1.3194444444444444, 0.4310243576713091, 7.5, 58.123999999999995, 48.044, 58.078250319999995, 26, 0, -0.05643437041758633, -0.06539244288085166, 0.06539244288085166, 0.05643437041758633, 1.0, 1.25, 1.25, 13.630205166699419, 10.393584045238853, 1.560298808400194, -1.6763334730980048, 1.763305166699431, -1.4733159547611456, 4.122205166699432, 0.8855840452388535, 1.370950594454669, 1.9747448713915894, 2.0, 3.414213562373095, 3.414213562373095, 3.414213562373095, 1.914213562373095, 1.914213562373095, 1.914213562373095, 0.9999999999999998, 0.9999999999999998, 0.4999999999999999, 0.4999999999999999, 0.0, 0.0, 0.0, 6.854752972273345, 4.0, 3.0, 2.0, 27.834077371019376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.689117645233267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.689117645233267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.689117645233267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.841643245852019, 0.0, 0.0, 13.847474399381248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.638888888888889, 4.361111111111111, 0.0, 1.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3.0, 0, 1.8064, 20.581999999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0.3765210426322006,Medium
C=C,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed850>,C=C,True,0.02702702702702703,0,0.0,Low,"[3.0, 3.0, 3.0, 3.0, 0.34449676855385364, 2.0, 28.053999999999995, 24.022, 28.031300127999998, 12, 0, -0.10631107461236379, -0.10631107461236379, 0.10631107461236379, 0.10631107461236379, 1.0, 1.0, 1.0, 12.718106781186545, 11.30389321881345, 0.6007957065741836, -0.8134178557989111, 0.8622067811865474, -0.5520067811865473, 4.220106781186547, 2.8058932188134516, 1.0, 2.0, 0.0, 2.0, 1.414213562373095, 1.414213562373095, 1.0, 0.4999999999999999, 0.4999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.26, 2.0, 1.74, 0.74, -6.106153846153846, 14.414590110041905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.157871367196995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.157871367196995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.157871367196995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.157871367196995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6438, 0, 0.8022, 11.254000000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.3868479145994583,Medium
CN(N)CN,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed8c0>,CN(N)CN,True,0.13513513513513514,0,0.06,Medium,"[5.0, 5.0, 0.4166666666666665, 0.4166666666666665, 0.23144268705791288, 9.6, 75.115, 66.043, 75.07964728799999, 32, 0, 0.05897462768807601, -0.31727866102115604, 0.31727866102115604, 0.05897462768807601, 1.8, 2.0, 2.0, 15.39812629690446, 11.04549756368964, 1.7151611590200138, -1.9971538531672046, 1.4701198269738815, -2.3123891083359505, 4.177408687557587, 0.36070620557801064, 1.3787834934861756, 2.5395388613593903, 18.854752972273346, 4.284457050376173, 3.309020915065757, 3.309020915065757, 2.270055610029662, 1.42988854172782, 1.42988854172782, 0.9395750274341097, 0.9395750274341097, 0.2879834411740014, 0.2879834411740014, 0.0, 0.0, -0.12, 9.65148445440323, 4.880000000000001, 2.1377319587628865, 3.8799999999999994, 31.513944226689937, 5.733667477162185, 0.0, 0.0, 0.0, 0.0, 0.0, 5.842670270266239, 5.008912523954532, 0.0, 0.0, 0.0, 0.0, 7.04767198267719, 6.6686911888991425, 0.0, 0.0, 0.0, 5.008912523954532, 11.576337747428424, 0.0, 13.716363171576333, 0.0, 0.0, 0.0, 11.576337747428424, 0.0, 0.0, 0.0, 18.725275695530865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55.28, 0.0, 0.0, 0.0, 0.0, 6.6686911888991425, 0.0, 5.008912523954532, 7.04767198267719, 0.0, 0.0, 11.576337747428424, 0.0, 0.0, 0.0, 1.4027777777777777, 4.972222222222222, 5.0, 0.0, 0.0, 0.4166666666666665, 1.7083333333333335, 1.0, 5, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 0, 1, 0, 0, 0, 0, 0, 2.0864263917525774, 0, -1.2918999999999996, 21.004800000000007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.37561931353689226,Medium
C#CCNN,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed930>,C#CCNN,True,0.11363636363636363,0,0.07,Medium,"[4.746527777777778, 4.746527777777778, 0.4444444444444444, 0.4444444444444444, 0.23780040690813567, 6.4, 70.095, 64.047, 70.053098192, 28, 0, 0.07065300641612028, -0.27056396080771467, 0.27056396080771467, 0.07065300641612028, 2.0, 2.6, 2.6, 15.197491655394893, 10.715005435893099, 1.55810772002688, -1.771040592232784, 1.3372861785946095, -2.2078973999666567, 4.843798775960753, 0.8374120404865555, 1.4056390622295665, 2.483699570591265, 43.344977967946406, 4.121320343559642, 2.861807319565799, 2.861807319565799, 2.414213562373095, 1.2844570503761732, 1.2844570503761732, 0.5850249857604999, 0.5850249857604999, 0.2041241452319315, 0.2041241452319315, 0.05892556509887897, 0.05892556509887897, -0.52, 11.245112497836532, 4.480000000000002, 3.4800000000000018, 3.4800000000000026, 31.32824954933777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.842670270266239, 5.425791397110385, 0.0, 6.423349895620259, 5.920434318855644, 0.0, 0.0, 6.544756405912575, 0.0, 0.0, 0.0, 5.425791397110385, 5.842670270266239, 0.0, 6.544756405912575, 0.0, 0.0, 12.343784214475903, 11.268461667376624, 0.0, 0.0, 0.0, 6.544756405912575, 0.0, 12.343784214475903, 0.0, 0.0, 0.0, 0.0, 0.0, 38.05, 0.0, 0.0, 0.0, 0.0, 6.544756405912575, 0.0, 0.0, 0.0, 0.0, 11.346225715966028, 12.266020165886498, 0.0, 0.0, 0.0, 0.0, 2.28125, 7.027777777777778, 0.0, 4.746527777777778, 0.4444444444444444, 0.0, 0.3333333333333333, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 3.118080000000003, 0, -0.9171, 21.023100000000003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0.34462834925276353,Low
C[SH]=O,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20ed9a0>,C[SH]=O,True,0.08695652173913043,0,0.0,Low,"[8.902777777777779, 8.902777777777779, 0.16666666666666652, 0.16666666666666652, 0.37784869356016126, 5.666666666666667, 64.10900000000001, 60.077000000000005, 63.998285748, 20, 0, 0.0090746418036557, -0.26311835935931177, 0.26311835935931177, 0.0090746418036557, 2.0, 2.0, 2.0, 32.14762748180756, 11.960972749016815, 1.1931904979667958, -1.271321531603908, 1.1077799467585485, -1.356928308654078, 7.642399453993582, 0.69663171523832, 0.9182958340544894, 2.1874960973678963, 12.264662506490405, 2.7071067811865475, 1.855461885963821, 2.749889076963737, 1.4142135623730951, 0.6297877813350133, 1.88936334400504, 0.18257418583505539, 0.5477225575051662, 0.0, 0.0, 0.0, 0.0, 0.14999999999999997, 2.7548875021634682, 3.15, 2.15, 2.1499999999999986, 23.14546186944195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.208898492164469, 0.0, 0.0, 0.0, 0.0, 0.0, 17.922242425037588, 0.0, 4.208898492164469, 11.666473241526186, 0.0, 0.0, 0.0, 0.0, 6.255769183511404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.464667675675873, 11.666473241526186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.07, 0.0, 0.0, 0.0, 11.666473241526186, 0.0, 0.0, 0.0, 6.255769183511404, 0.0, 0.0, 4.208898492164469, 8.902777777777779, 0.16666666666666652, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5416666666666665, 0.0, 0.0, 1.0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2.2575, 0, -0.43849999999999995, 15.461400000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.28561373933049916,Low
CCc1c(OC)cc(Cc2cnc(N)cc2N)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20eda10>,CCc1c(OC)cc(Cc2cnc(N)cc2N)cc1OC,True,0.7435897435897436,1,0.8959999999999999,High,"[5.983910934744268, 5.983910934744268, 0.4238352101375191, 0.4238352101375191, 0.8819998736283724, 10.428571428571429, 287.36300000000006, 266.195, 287.163376912, 112, 0, 0.12552799070353687, -0.49632306311908114, 0.49632306311908114, 0.12552799070353687, 1.0476190476190477, 1.6666666666666667, 2.142857142857143, 16.47658198989556, 10.005788160115989, 2.1189242156199932, -2.14580983717967, 2.3196274590632795, -2.0181806513150735, 5.550987820105014, 0.38511867696048296, 2.4853784144068674, 2.397562137428135, 616.4094823217748, 15.405412915006313, 12.642025353938537, 12.642025353938537, 10.083248657969117, 6.822393723208416, 6.822393723208416, 4.817205621440502, 4.817205621440502, 3.4594289444952637, 3.4594289444952637, 2.3727635449210296, 2.3727635449210296, -2.43, 52230.22737876032, 14.968344686696524, 6.346630962384271, 3.1849239448410827, 124.43972773152971, 20.94106086192447, 17.316886444402837, 0.0, 0.0, 0.0, 0.0, 0.0, 4.9839785209472085, 0.0, 0.0, 6.923737199690624, 29.680458743243218, 29.93487002938125, 14.219595082555067, 9.473725907600098, 11.50524905251859, 0.0, 4.9839785209472085, 0.0, 19.765380445542643, 25.68693003687944, 41.08629925208889, 0.0, 11.49902366656781, 20.94106086192447, 11.50524905251859, 11.49902366656781, 0.0, 19.203573603502274, 12.841643245852019, 0.0, 23.61409167478161, 24.395944776997904, 0.0, 0.0, 0.0, 83.39, 0.0, 0.0, 0.0, 0.0, 17.9260706754446, 34.610199764584806, 0.0, 26.482805722629752, 12.13273413692322, 11.907715720637832, 20.94106086192447, 10.919122837406567, 0.0, 4.090293682287729, 0.0, 15.287011058109092, 2.0790678464019017, 5.692967057193249, 3.199772280239001, 2.071356536314148, 3.327075368714979, 0.3125, 21, 4, 5, 0, 0, 0, 0, 1, 1, 2, 0, 0, 5, 2, 5, 1, 5, 0, 0, 0, 0, 0, 4.52374094496325, 2, 2.4164000000000003, 84.79180000000002, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0.6552132109714427,High
COC,<rdkit.Chem.rdchem.Mol object at 0x7fa7c20eda80>,COC,True,0.10344827586206896,0,0.0,Low,"[4.25, 4.25, 1.625, 1.625, 0.3800398096193344, 6.0, 46.069, 40.021, 46.041864812, 20, 0, 0.035078372220806404, -0.3879283458815952, 0.3879283458815952, 0.035078372220806404, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 16.449685395995985, 11.561314604004028, 1.254090895685948, -1.6059408693467365, 1.2803521410140613, -1.5512521410140627, 3.5615688931954113, 0.2774311068045893, 0.9182958340544894, 1.6329931618554523, 2.7548875021634682, 2.7071067811865475, 2.408248290463863, 2.408248290463863, 1.4142135623730951, 0.8164965809277261, 0.8164965809277261, 0.4082482904638631, 0.4082482904638631, 0.0, 0.0, 0.0, 0.0, -0.04, 2.7548875021634682, 2.9600000000000004, 1.96, 1.9600000000000033, 20.217738371733038, 4.736862953800049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.219595082555067, 0.0, 4.736862953800049, 0.0, 0.0, 0.0, 0.0, 0.0, 14.219595082555067, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.219595082555067, 4.736862953800049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.219595082555067, 0.0, 4.736862953800049, 0.0, 4.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.25, 1.0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1.9338666666666668, 0, 0.26260000000000006, 12.933000000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.3253662420074527,Low
